product_id,product_name,total_sales,total_profit,avg_margin,total_qty,avg_discount
TEC-MA-10000418,"Cubify CubeX 3D Printer Double Head Print",11099.96,-8879.97,-0.9528,9,0.5333
TEC-MA-10000822,"Lexmark MX611dhe Monochrome Laser Printer",16829.9,-4589.97,-0.3611,18,0.4
TEC-MA-10004125,"Cubify CubeX 3D Printer Triple Head Print",7999.98,-3839.99,-0.48,4,0.5
FUR-TA-10000198,"Chromcraft Bull-Nose Wood Oval Conference Tables & Bases",9917.64,-2876.12,-0.247,27,0.28
FUR-TA-10001889,"Bush Advantage Collection Racetrack Conference Table",9544.72,-1934.4,-0.3175,33,0.35
OFF-BI-10004995,"GBC DocuBind P400 Electric Binding System",17965.07,-1878.17,-0.515,27,0.45
TEC-MA-10002412,"Cisco TelePresence System EX90 Videoconferencing Unit",22638.48,-1811.08,-0.08,6,0.5
OFF-SU-10002881,"Martin Yale Chadless Opener Electric Letter Opener",16656.2,-1299.18,-0.1025,22,0.1
FUR-TA-10001950,"Balt Solid Wood Round Tables",6518.75,-1201.06,-0.2133,19,0.2
FUR-TA-10004289,"BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",1706.25,-1148.44,-0.6873,15,0.4833
FUR-TA-10004154,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",4446.18,-1147.4,-0.1589,25,0.3
TEC-MA-10002210,"Epson TM-T88V Direct Thermal Printer - Monochrome - Desktop",1212.7,-1057.23,-0.825,10,0.55
FUR-CH-10003312,"Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs",5282.42,-989.05,-0.1902,24,0.2167
FUR-BO-10001972,"O'Sullivan 4-Shelf Bookcase in Odessa Pine",2740.2,-975.1,-0.8291,37,0.4214
FUR-TA-10004256,"Bretford “Just In Time” Height-Adjustable Multi-Task Work Tables",5634.9,-964.19,-0.2788,17,0.225
TEC-MA-10001695,"Zebra GK420t Direct Thermal/Thermal Transfer Printer",703.71,-938.28,-1.3333,6,0.7
OFF-AP-10002534,"3.6 Cubic Foot Counter Height Office Refrigerator",2946.2,-872.08,-1.484,18,0.52
FUR-TA-10002958,"Bevis Oval Conference Table, Walnut",6942.07,-856.01,-0.2117,36,0.275
OFF-ST-10004459,"Tennsco Single-Tier Lockers",9158.3,-825.75,-0.0391,28,0.075
FUR-TA-10002533,"BPI Conference Tables",2241.87,-795.97,-0.3576,26,0.37
TEC-MA-10004679,"StarTech.com 10/100 VDSL2 Ethernet Extender Kit",2330.65,-785.76,-0.425,13,0.425
FUR-BO-10000780,"O'Sullivan Plantations 2-Door Library in Landvery Oak",2946.37,-767.74,-0.2872,22,0.332
FUR-BO-10003272,"O'Sullivan Living Dimensions 5-Shelf Bookcases",3420.77,-755.75,-0.1912,21,0.24
FUR-TA-10003954,"Hon 94000 Series Round Tables",7404.5,-681.21,-0.1223,30,0.16
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.97,-669.54,-0.0621,24,0.234
OFF-ST-10002574,"SAFCO Commercial Wire Shelving, Black",4199.46,-635.44,-0.175,35,0.14
FUR-BO-10004467,"Bestar Classic Bookcase",1897.81,-612.94,-0.4671,31,0.315
FUR-TA-10003238,"Chromcraft Bull-Nose Wood 48" x 96"" Rectangular Conference Tables"",4297.64,-611.59,-0.2729,11,0.3333
FUR-TA-10001768,"Hon Racetrack Conference Tables",3963.9,-598.52,-0.1427,22,0.2833
FUR-TA-10000849,"Bevis Rectangular Conference Tables",1007.26,-586.84,-0.61,13,0.475
FUR-TA-10000577,"Bretford CR4500 Series Slim Rectangular Table",7242.77,-532.76,-0.0982,29,0.2625
FUR-FU-10001468,"Tenex Antistatic Computer Chair Mats",3317.01,-530.04,-0.275,25,0.2333
FUR-FU-10003806,"Tenex Chairmat w/ Average Lip, 45" x 53"""",2058.5,-529.76,-0.575,19,0.3
FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",2671.42,-519.94,-0.275,20,0.2667
TEC-MA-10001681,"Lexmark MarkNet N8150 Wireless Print Server",723.51,-506.46,-0.7,6,0.7
FUR-CH-10003774,"Global Wood Trimmed Manager's Task Chair, Khaki",4166.88,-503.12,-0.141,59,0.2286
FUR-CH-10003298,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",3680.54,-491.17,-0.1383,35,0.1889
FUR-TA-10002607,"KI Conference Tables",2140.88,-479.22,-0.3225,44,0.325
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",5436.16,-474.74,-0.1128,54,0.1857
OFF-ST-10002743,"SAFCO Boltless Steel Shelving",4704.7,-470.47,-0.1138,46,0.1
TEC-MA-10002073,"3D Systems Cube Printer, 2nd Generation, White",2339.98,-468,-0.17,3,0.35
